artist_id,Names,nationality,style,birth,death
809,John Durand Durand,American,Colonial,1731,1805
810,Frederick Carl Frieseke,American,Impressionist,1874,1939
811,John Russell Russell,English,Portraitist,1745,1806
812,Jan Steen Steen,Dutch,Baroque,1626,1679
813,Jean Honore Fragonard,French,Rococo,1732,1806
814,Jan Huysum Van Huysum,Dutch,Rococo,1682,1749
815,Leonardo Vinci Da Vinci,Italian,High Renaissance,1452,1519
816,William Glackens Glackens,American,Realist,1870,1938
817,Lord Frederic Leighton,English,Classicist,1830,1896
818,Jan Miense Molenaer,Dutch,Baroque,1610,1668
819,Willem Maris Maris,Dutch,Naturalist,1844,1910
820,Edmond Francois Aman Jean,French,Symbolist,1860,1935
821,Maxime Maufra Maufra,French,Impressionist,1863,1918
822,William Hodges Hodges,English,Marine Art,1744,1797
823,Alice Bailly Bailly,Swiss,Cubist,1872,1938
824,Ernst Ludwig Kirchner,German,Expressionist,1880,1938
825,Felix Vallotton Vallotton,Swiss,Nabi,1865,1925
826,Jean Baptiste Vanmour,Flemish,Orientalist,1671,1737
827,Gustav Klimt Klimt,Austrian,Art Nouveau,1862,1918
828,Francis Augustus Silva,American,Hudson River School,1835,1886
829,Gustave Caillebotte Caillebotte,French,Impressionist,1848,1894
830,Giuseppe Arcimboldo Arcimboldo,Italian,Mannerist,1530,1593
831,Amedeo Modigliani Modigliani,Italian,Expressionist,1884,1920
832,Gerard Van Honthorst,Dutch,Baroque,1590,1656
833,John Wesley Jarvis,American,Portraitist,1780,1840
834,Eugene Delacroix Delacroix,French,Romantic,1798,1863
835,Enoch Wood Perry,American,Realist,1831,1915
836,Aristide Maillol Maillol,French,Nabi,1861,1944
837,Adolph Ulrich Wertmuller,Swiss,Portraitist,1751,1811
838,Marie Guillemine Benoist,French,Neoclassical,1768,1826
839,Georges Tour De La Tour,French,Baroque,1593,1652
840,Eugene Girardet Girardet,French,Orientalist,1853,1907
841,Umberto Boccioni Boccioni,Italian,Futurist,1882,1916
842,Rachel Ruysch Ruysch,Dutch,Baroque,1664,1750
843,Egon Schiele Schiele,Austrian,Art Nouveau,1890,1918
844,Gaston Touche La Touche,French,Post-Impressionist,1854,1913
845,Arthur Stockdale Cope,English,Marine Art,1857,1940
846,Gerrit Dou Dou,Dutch,Baroque,1613,1675
847,Jean Francois Portaels,Belgian,Orientalist,1818,1895
848,Hans Holbein Holbein,German,Northern Renaissance,1465,1524
849,Jules Pascin Pascin,French,Expressionist,1885,1930
850,Jean Béraud Beraud,French,Impressionist,1849,1935
851,Giorgio Morandi Morandi,Italian,Futurist,1890,1964
852,Leon Augustin Lhermitte,French,Realist,1844,1925
853,Henri De Toulouse Lautrec,French,Post-Impressionist,1864,1901
854,Theodor Hörmann Von Hormann,Austrian,Impressionist,1840,1895
855,Anders Zorn Zorn,Swiss,Realist,1860,1920
856,Gilbert Stuart Stuart,American,Portraitist,1755,1828
